"series_index","label","x","y"
0,"PSA <= 0.1 ng/mL",0.0,100.0
0,"PSA <= 0.1 ng/mL",1.0,100.0
0,"PSA <= 0.1 ng/mL",2.0,99.0
0,"PSA <= 0.1 ng/mL",3.0,97.0
0,"PSA <= 0.1 ng/mL",4.0,94.0
0,"PSA <= 0.1 ng/mL",5.0,92.0
0,"PSA <= 0.1 ng/mL",6.0,90.0
0,"PSA <= 0.1 ng/mL",7.0,89.0
0,"PSA <= 0.1 ng/mL",8.0,88.0
0,"PSA <= 0.1 ng/mL",9.0,88.0
0,"PSA <= 0.1 ng/mL",9.5,87.0
0,"PSA <= 0.1 ng/mL",10.0,84.0
0,"PSA <= 0.1 ng/mL",10.5,82.0
0,"PSA <= 0.1 ng/mL",11.0,81.0
0,"PSA <= 0.1 ng/mL",12.0,81.0
0,"PSA <= 0.1 ng/mL",13.0,78.0
0,"PSA <= 0.1 ng/mL",14.0,78.0
0,"PSA <= 0.1 ng/mL",15.0,78.0
0,"PSA <= 0.1 ng/mL",15.5,78.0
0,"PSA <= 0.1 ng/mL",15.6,52.0
0,"PSA <= 0.1 ng/mL",16.0,52.0
0,"PSA <= 0.1 ng/mL",16.2,52.0
1,"PSA > 0.1 ng/mL",0.0,100.0
1,"PSA > 0.1 ng/mL",1.0,99.0
1,"PSA > 0.1 ng/mL",1.5,96.0
1,"PSA > 0.1 ng/mL",2.0,94.0
1,"PSA > 0.1 ng/mL",2.5,91.0
1,"PSA > 0.1 ng/mL",3.0,87.0
1,"PSA > 0.1 ng/mL",4.0,84.0
1,"PSA > 0.1 ng/mL",5.0,80.0
1,"PSA > 0.1 ng/mL",6.0,77.0
1,"PSA > 0.1 ng/mL",7.0,75.0
1,"PSA > 0.1 ng/mL",8.0,72.0
1,"PSA > 0.1 ng/mL",9.0,68.0
1,"PSA > 0.1 ng/mL",10.0,67.0
1,"PSA > 0.1 ng/mL",11.0,66.0
1,"PSA > 0.1 ng/mL",12.0,65.0
1,"PSA > 0.1 ng/mL",12.5,62.0
1,"PSA > 0.1 ng/mL",13.0,60.0
1,"PSA > 0.1 ng/mL",14.0,60.0
1,"PSA > 0.1 ng/mL",15.0,60.0
1,"PSA > 0.1 ng/mL",16.0,60.0
1,"PSA > 0.1 ng/mL",16.5,60.0
